我的账户	101000
查询定活互转	104040
手机银行买基金	117000
如何办理儒商卡	您可以持本人有效身份证件前往我行网点填写申请表后即可办理儒商卡。
儒商卡是否可以代办	儒商卡是可以代办的，建议携带本人及代办人身份证前往柜面办理，代办的卡片需要本人修改初始密码后才可以取款。
儒商卡都有哪些业务免费	我行儒商卡目前有17项免费业务，具体免费项目请咨询4006770537。
儒商卡如何开通自助设备转账业务	您可以持有效身份证件前往我行柜台开通自助设备转账业务。
儒商卡能办理几张附属卡	我行一张儒商卡只能办理一张附属卡。
儒商卡附属卡如何办理	在双方均有意愿的情况下可以为年满16周岁以上的亲属或朋友办理附属卡，办理时需要双方持本人有效身份证件到我行网点柜面办理，该业务不允许代办。
单位给我办的儒商卡，为什么不能取款	按照“人民银行”的要求，代办的账户交易密码均为初始密码，需持本人有效证件到柜台办理修改后方可使用，并且其他渠道暂不支持初始密码修改。
儒商卡取款密码锁定	儒商卡密码累计输入错误5次，为了保护您的账户安全，密码将被系统永久锁定，您需要携带身份证、儒商卡到我行任意网点办理解锁业务后方可正常用卡。
儒商卡损坏如何处理	儒商卡因损坏、变形、磁卡记录消失等原因需要变更时，您应持本人身份证、儒商卡到开卡地区任意网点办理换卡手续。如果您的IC卡丢失或损坏后补卡需要收取10元工本费。
在外地如何把现金存入儒商卡	您可以通过以下方式存入：1.将现金存入他行卡，再汇入我行，是否收取手续费需要向汇出行咨询。2.通过银联柜面通合作机构柜台存入，无手续费。
儒商卡信息错误	儒商卡开户时信息有误，需由本人携带身份证到我行任意网点柜台办理，该业务不可代办，可跨地区办理。
儒商卡正面的日期是开卡日期吗	磁条卡正面为该卡的制卡日期，IC卡正面为该卡的到期日。
其他证件能办理儒商卡吗	没有身份证，可以凭有效期内的临时身份证或户籍证明办理儒商卡开户。
儒商卡能炒股吗	目前我行儒商卡还未开通相关的功能。
儒商卡密码锁定后，哪些业务不受影响	银行卡锁定后，仍可以办理存款业务，同时不影响贷款还款业务，快捷支付业务。
儒商卡挂失如何办理	您可以通过柜面、网上银行、手机银行或者电话银行办理儒商卡的挂失业务。
儒商卡解挂业务	需要您本人持效身份证件和儒商卡前往您办理挂失的原业务经办行进行解挂业务，电话银行口头挂失可以去我行任意支行解挂。
儒商卡和存折的关系	如果您办理的为一卡一折，儒商卡和存折的金额相同，账户不同，卡挂失后，存折可以正常使用，存折挂失后，儒商卡可正常使用。
儒商卡和附属卡的关系	儒商卡和附属卡共用一个账户，儒商卡挂失后，附属卡无法使用，附属卡挂失后，不影响主卡的使用。
如何为未成年人办理儒商卡	未成年子女及监护人携带有效身份证件一同前往柜台办理儒商卡。
儒商卡POS机刷卡的收费标准	只要您持儒商卡在带有银联标志的POS机刷卡消费，我行不收取您的手续费。
儒商卡可以在境外使用吗	在境外您可以持儒商卡在带有银联标志的ATM机上进行取款，我行不会收费您的任何费用。
除了儒商卡还有其他卡种吗	目前我行只有一种人民币借记卡--儒商卡。
儒商卡能存外币吗	在我行的营业部开户的儒商卡是可以办理存入外币业务的。
儒商卡口头挂失取消如何办理	如果您办理儒商卡口头挂失后找回儒商卡，可本人持有效身份证件、儒商卡在我行任意网点办理口头挂失解挂。
儒商卡能在他行的ATM机上存款吗	使用儒商卡目前不支持在其他银行的ATM机办理存款业务。
儒商卡开卡有个数限制吗	我行儒商卡开户时，需要根据您的具体需求开卡。
儒商卡被吞了	1.若是济宁银行卡片在济宁银行ATM机器上被吞卡，建议您首先拨打我行客服热线400-677-0537挂失您的卡片以确保您的账户资金安全。2.若是济宁银行卡片在其他银行的ATM机器上被吞卡，建议您首先拨打我行400-677-0537客服热线挂失您的卡片以确保您的账户资金安全，然后拨打对方银行客服电话咨询吞卡领卡事宜。
儒商卡取款没有吐钞	出现存款未入账或取款未出钞的情况，若自助设备旁有网点请您立即与银行工作人员联系；若自助设备旁无网点或在营业时间外,请您立即致电400-677-0537咨询。此外，请确认设备已恢复广告页面且无其他异常后离开，若有异常请及时拨打400-677-0537。
如何直接使用儒商卡充值话费	您可以在淘宝网站进行充值；也可以登录三大运营商的官网后使用支付宝业务进行充值。
儒商卡口头挂失	WX0001
儒商卡余额查询	您可以通过我行自助设备、电话银行、网上银行、发送短信等途径查询卡内余额。
儒商卡明细查询	WX0100
儒商卡重置密码、更改初始密码能否代办	我行对特殊消费群体有特殊要求，建议咨询就近网点。
什么是周周赢	当您儒商卡余额达到5万元以上并签署周周赢协议后，您的资金将自动转存为理财资金，享受7天通知存款利率，理财周期为7天，7天结束后利息和本金滚入下一轮理财，复利计算。若支取后余额低于最低起存金额的，按支取日一天通知存款利率结清该段利息，剩余资金按活期利率计息。让您的资金在享受活期存款便利的同时，获得较高的收益。
什么是定活自转	定活自转是指我行会将您的活期账户超过2000元的部分转入理财账户，并且按款项存入时间的长短享受最高五年期的定期存款利率，让您在享受活期存取便利的同时，获得较高收益。
什么是投资理财	您可通过我行网上银行、手机银行或去柜台直接办理投资理财的业务，可以实现您儒商卡内的定期账户，通知存款账户的开立和转出，以及我行特色业务的变更以及理财明细的查询服务。
儒商卡IC卡都有哪些业务免费	目前我行只针对IC卡的损坏和挂失换卡业务收取10元换卡/补卡费，其他业务均不收取手续费。
儒商卡IC卡补卡收费标准	按照我行的收费标准，如果您的IC卡丢失或损坏后需要补卡是收取10元换卡/补卡费。
儒商卡IC卡能开立存折吗	按照现行的行业惯例及预防复制卡的出现，IC卡是不能办理存折业务的，但是您可以办理借记卡登记薄。
怎么查询儒商卡IC卡中的余额	您可以通过网银及客服电话4006770537查询，此外如果您开通短信通知业务，也可以发送上行短信“cxye+卡号后四位”即可收到提醒短信。
儒商卡IC卡取款没有吐钞	您可以直接拨打我行客服电话4006770537，将您的取款异常情况详细说明，随后我行将针对您所提供的交易信息进行核查，如情况属实将会通过账务系统为您调账，期间大致需要7个工作日，还请您耐心等待。
济宁银行都有什么理财产品	儒商卡具有特色理财功能，您办理儒商卡后即可享受定活自转或周周赢特色理财，二者只可选其一。
什么是账户明细查询	账户明细查询可以提供查询近期的账户交易明细，查询必须以3个月为一个跨度进行查询，您也可以在网上银行下载明细，最多为5000条，若超出5000条则建议您到您的如上卡开户行打印查询。
存款利息税	目前个人存款利息税暂免。
客户资料维护办理流程	客户资料维护主要是对客户基本资料的增加、修改和删除。基本资料包括名称资料、证件资料、地址资料、通讯资料等内容。您需要持本人有效身份证件到开户行办理客户资料维护业务。
如何进行投诉和建议	如果您需要对我行的服务进行投诉建议,您可以拨打我行的客服电话400-677-0537反映您的问题。
济宁银行有信用卡吗	对不起哦，济宁银行目前没有信用卡业务。
村镇银行的电话是多少	村镇银行的电话为：400-005-3716
